q1	q2	q3	q4	q5	q6
-0.941373077619865	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9408826437044419	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9403844106954835	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9398783443139509	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9393644109158698	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9388425774901297	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9383128116562853	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9377750816623551	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9372293563826211	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9366756053154293	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9361137985809889	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9355439069191721	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9349659016873141	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9343797548580126	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.933785439016928	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9331829273605827	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9325721936941607	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9319532124293081	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9313259585819323	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9306904077700021	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9300465362113468	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9293943207214571	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9287337387112833	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9280647681850369	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9273873877379887	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9267015765542698	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9260073144046704	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9253045816444403	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9245933592110884	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9238736286221819	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9231453719731476	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9224085719350698	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9216632117524907	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9209092752412114	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9201467467860899	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9193756113388415	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9185958544158394	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9178074620959129	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9170104210181486	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9162047183796889	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.915390341933533	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.914567279986336	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9137355213962085	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9128950555705164	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9120458724636815	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9111879625749802	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9103213169463439	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9094459271601579	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9085617853370627	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9076688841337522	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9067672167407748	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9058567768803314	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9049375588040774	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.904009557290921	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9030727676448227	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9021271856925963	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9011728077817076	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.9002096307780749	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8992376520638681	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8982568695353089	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8972672816004706	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8962688871770776	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8952616856903053	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8942456770705794	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.893220861751377	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8921872406670247	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8911448152504994	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8900935874312277	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8890335596328858	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8879647347711992	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8868871162517424	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8858007079677391	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.884705514297861	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8836015401040286	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8824887907292103	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8813672719952221	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8802369902005286	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8790979521180408	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8779501649929171	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8767936365403632	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8756283749434314	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8744543888508199	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.873271687374674	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.872080280088384	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8708801770243866	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8696713886719639	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.868453925975043	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.8672278003299964	-0.314159	1.69297	0.05	-1.98968	0.959931
-0.865993023583441	-0.314159	1.69297	0.05	-1.98968	0.959931
